body,entityname,userid,username,createdAt,entityName,address,city,country,state
🌶,Dough Zone™ Dumpling House,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-10-14 02:08:51.692+00,Dough Zone™ Dumpling House,504 5th Avenue South #109, Seattle,Seattle,United States,Washington
🥟,Lao sze chuan,1270106893044550,Anjali Ramani,2017-11-30 04:11:32.378+00,Lao sze chuan,608 East University Avenue ste. 105, Champaign,Champaign,United States,Illinois
🍔,DESTIHL Restaurant & Brew Works,904147553087729,Charis Ryu,2018-05-30 09:22:39.689+00,DESTIHL Restaurant & Brew Works,301 North Neil Street, Champaign,Champaign,United States,Illinois
🤤,La Capital Tacos,AVUCyFwgdobgH1nTqHPZWNCivmY2,Pratik Nalawade,2018-04-24 19:15:04.263+00,La Capital Tacos,1096 St Laurent Blvd, Montreal,Montréal,Canada,Québec
💞,Crudo,1660353924016921,Olivia Gatti,2018-02-15 02:19:21.666+00,Crudo,116 North Walnut Street, Champaign,Champaign,United States,Illinois
🌶,Spotted Monkey,878293195646842,Joe Higgs,2018-01-27 00:05:16.181+00,Spotted Monkey,335 South Franklin Street, Chicago,Chicago,United States,Illinois
🥟,Imperial Lamian,108032751776815363988,Jerry Talton,2018-02-11 01:02:39.521+00,Imperial Lamian,6 West Hubbard Street, Chicago,Chicago,United States,Illinois
🤪,U S Consulate General,htinzXo0U8gSKo8oHgG1WEkqWXc2,Sanjay Kumar,2018-07-31 11:44:52.115+00,U S Consulate General,220, Anna Salai, Gemini Circle, Chennai,Chennai,India,Tamil Nadu
🥔,Red Herring Vegetarian Restaurant,1111655028939865,Arnav Mishra,2018-05-10 00:22:09.634+00,Red Herring Vegetarian Restaurant,1209 West Oregon Street, Urbana,Urbana,United States,Illinois
🥓,Perkins Restaurant & Bakery,1270106893044550,Anjali Ramani,2017-12-02 22:27:58.895+00,Perkins Restaurant & Bakery,1214 West University Avenue, Urbana,Urbana,United States,Illinois
🤤,Yat Lok Restaurant (Roast Goose),105856798281199967470,Sujay Khandekar,2019-03-10 07:49:09.206+00,Yat Lok Restaurant (Roast Goose),Conwell House, HK 香港島 中環 士丹利街34-38號 金禾大廈地鋪, 34-38 Stanley Street, Central,,Hong Kong,Hong Kong Island
🍺,Cruz Blanca Cervecería,878293195646842,Joe Higgs,2018-05-13 23:04:34.957+00,Cruz Blanca Cervecería,904 West Randolph Street, Chicago,Chicago,United States,Illinois
👟,Planet Fitness,1647801008617579,Oliver Melvin,2019-03-06 20:29:22.78+00,Planet Fitness,1809 South Philo Road, Urbana,Urbana,United States,Illinois
🍺,Mendocino Farms,106173579224565293482,Kala Shivaramaiah,2018-03-22 20:20:44.564+00,Mendocino Farms,1875 S Bascom Ave Suite 440, Campbell,Campbell,United States,California
💪,Cocomero Frozen Yogurt,2441556549402181,Caleb Ju,2017-12-05 02:43:29.678+00,Cocomero Frozen Yogurt,709 South Wright Street, Champaign,Champaign,United States,Illinois
🤑,Wabi-Sabi,1720951507964911,Elena Gatti,2018-03-20 21:57:26.744+00,Wabi-Sabi,1635 Abbot Kinney Blvd, Venice,Los Angeles,United States,California
🍻,Ippudo NY,115361705896308,Jerry Talton,2017-11-07 23:55:11.131+00,Ippudo NY,65 4th Avenue, New York,New YorkUnited States,New York
😍,Sushi Nakazawa,115361705896308,Jerry Talton,2017-11-05 01:32:44.126+00,Sushi Nakazawa,23 Commerce Street, New York,New YorkUnited States,New York
🌞,Philz Coffee,10155351902975735,Ruta Lele,2018-03-25 01:08:13.902+00,Philz Coffee,19439 Stevens Creek Boulevard, Cupertino,Cupertino,United States,California
🏖,Honolulu,2053211201557946,Keye Zhang,2018-12-30 23:52:15.639+00,Honolulu,Hawaii, USA,Honolulu,United States,Hawaii
🍔,Steak 'n Shake,10213168878628901,Michelle Wellens,2018-03-11 04:09:39.056+00,Steak 'n Shake,2010 North Prospect Avenue, Champaign,Champaign,United States,Illinois
🍞,Potbelly Sandwich Shop,1980363958853129,Sunghun Kim,2017-12-01 03:17:40.605+00,Potbelly Sandwich Shop,501 East Green Street, Champaign,Champaign,United States,Illinois
👑,Oscar Wilde,1517874618267474,Supriya Khandekar,2018-07-28 20:21:31.898+00,Oscar Wilde,45 W 27th St, New York,New YorkUnited States,New York
👍,Dishoom Edinburgh,108032751776815363988,Jerry Talton,2019-05-12 17:49:06.344+00,Dishoom Edinburgh,3a Saint Andrew Square, Edinburgh,,United Kingdom,Scotland
😋,The Himalayan Chimney,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-07-19 22:02:05.9+00,The Himalayan Chimney,134 West Church Street, Champaign,Champaign,United States,Illinois
😍,Cold Stone Creamery,10214891722144694,Katerina Makridakis Skokin,2018-04-03 00:18:48.055+00,Cold Stone Creamery,134 North Marion Street, Oak Park,Oak Park,United States,IL
🌯,Pittsburgh International Airport,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2018-12-12 20:41:33.074+00,Pittsburgh International Airport,1000 Airport Blvd, Pittsburgh,Pittsburgh,United States,Pennsylvania
🦗,Pizzeria Antica,1659104244102907,Dayana Edat,2018-04-29 03:41:16.41+00,Pizzeria Antica,10 East Chester Street, Champaign,Champaign,United States,Illinois
🎆,Campbell Farmer's Market,10155200088205955,Ranjitha Kumar,2018-07-01 17:20:50.128+00,Campbell Farmer's Market,East Campbell Avenue, Campbell,Campbell,United States,California
🍎,Saratoga Farmers' Market at West Valley College,157924978075040,Kala Shivaramaiah,2017-11-20 06:45:07.547+00,Saratoga Farmers' Market at West Valley College,14000 Fruitvale Avenue, Saratoga,Saratoga,United States,California
🤓,Thomas M. Siebel Center for Computer Science,10208469801822893,Shan Tulshi,2018-03-29 20:19:51.242+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🙃,mother,1726108570780522,Shivali Patel,2018-03-27 21:06:10.423+00,mother,Høkerboderne 9-15, København,København,Denmark,
🍾,Sugarfina,106173579224565293482,Kala Shivaramaiah,2018-12-03 01:43:46.12+00,Sugarfina,377 Santana Row #1015, San Jose,San Jose,United States,California
🍚,Pho Cafe Thai Kitchen,1270106893044550,Anjali Ramani,2017-12-13 22:29:12.426+00,Pho Cafe Thai Kitchen,611 East Green Street, Champaign,Champaign,United States,Illinois
🍕,Este Pizzeria,878293195646842,Joe Higgs,2018-03-14 17:06:04.576+00,Este Pizzeria,156 East 200 South, Salt Lake City,Salt Lake City,United States,Utah
😴,Rue de la Concorde,g98anxDp4WVBLJl2q3yhKG1Q6gq1,Alix Ducros,2018-04-24 17:12:54.803+00,Rue de la Concorde,Montreal,Montréal,Canada,Québec
🍛,Spyce,10156139627340802,Aswin Sivaraman,2019-06-28 16:30:12.853+00,Spyce,241 Washington Street, Boston,Boston,United States,Massachusetts
🍤,2017 S Neil St,688430868030100,Kedan  Li,2018-10-08 18:07:37.818+00,2017 S Neil St,Champaign,Champaign,United States,Illinois
🤔,The Russian Tea Room,10156074801518874,Stephanie Raelene Herrera,2018-09-29 16:49:41.253+00,The Russian Tea Room,150 West 57th Street, New York,New YorkUnited States,New York
😮,Crew Collective & Cafe,AIkwmbmie4VhCquS1ciSGq6g9u53,Ailie Fraser,2018-04-22 04:31:09.203+00,Crew Collective & Cafe,360 St Jacques St, Montreal,Montréal,Canada,Québec
🥰,Girasol Restaurant Cafe Bar,lMBYlo3KjONF1zu4YhAmj4GbxM73,Tobi Tobson,2019-05-25 17:04:38.223+00,Girasol Restaurant Cafe Bar,Raumerstraße 30, Berlin,BerlinGermany,Berlin
😴,Relais & Châteaux Hotel Schloss Dürnstein,10155200088205955,Ranjitha Kumar,2018-06-02 11:40:42.907+00,Relais & Châteaux Hotel Schloss Dürnstein,Dürnstein 2, Dürnstein,Dürnstein,Austria,Niederösterreich
👋,Montréal-Pierre Elliott Trudeau International Airport,nYKFqOP414NlrJz31PhjBmTAblR2,suriname0,2018-04-28 09:57:53.468+00,Montréal-Pierre Elliott Trudeau International Airport,Quebec,Montréal,Canada,Québec
🍖,Nanjing Bistro,10212391291791338,Jinda Han,2019-01-03 02:28:15.381+00,Nanjing Bistro,508 East Green Street, Champaign,Champaign,United States,Illinois
🌶,San Miguel Market,10203191900074104,Sunil Khandekar,2017-11-19 11:01:13.931+00,San Miguel Market,Plaza de San Miguel, s/n, Madrid,Madrid,Spain,Comunidad de Madrid
🕚,Midway International Airport Departures,1748667878486854,Ingrid Pan,2018-03-16 01:26:05.74+00,Midway International Airport Departures,3210 Departures, Chicago,Chicago,United States,Illinois
🐣,Pho Cafe Thai Kitchen,100162404055730,Opico Alpaca,2017-12-13 21:47:36.674+00,Pho Cafe Thai Kitchen,611 East Green Street, Champaign,Champaign,United States,Illinois
🍞,Perkins Restaurant & Bakery,10212391291791338,Jinda Han,2018-02-05 22:10:57.021+00,Perkins Restaurant & Bakery,1214 West University Avenue, Urbana,Urbana,United States,Illinois
👅,The Red Lion,1864493876898160,Matea Zaper,2018-03-15 07:17:00.154+00,The Red Lion,211 East Green Street, Champaign,Champaign,United States,Illinois
😰,Hangen Szechuan,10210528750468531,Jewel Pi,2018-04-01 09:17:54.674+00,Hangen Szechuan,134 Castro Street, Mountain View,Mountain View,United States,CA
🐟,Pokelab,10207814784727552,Lina Handayani Sie,2018-02-02 18:12:27.431+00,Pokelab,605 South 6th Street, Champaign,Champaign,United States,Illinois
🍟,Decathlon Club Café,KpoPmxNhq2T4Gllh1LxmUIyh2RU2,Jessica Mullins,2018-07-30 21:36:12.428+00,Decathlon Club Café,15350 Southwest Koll Parkway, Beaverton,Beaverton,United States,Oregon
🌛,Thomas M. Siebel Center for Computer Science,10207814784727552,Lina Handayani Sie,2017-12-12 07:55:27.78+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🤓,University of Illinois at Urbana-Champaign,DxU5TrF3NmNAgnE4k90PQ1iFXai2,Paul D'Angelo,2018-09-04 18:31:56.239+00,University of Illinois at Urbana-Champaign,Champaign,Urbana,United States,Illinois
🥚,La Casa Del Mofongo,10156074801518874,Stephanie Raelene Herrera,2018-09-29 16:35:34.783+00,La Casa Del Mofongo,1447 Saint Nicholas Avenue, New York,New YorkUnited States,New York
👍,Glassy Nails,10155200088205955,Ranjitha Kumar,2017-12-27 23:10:37.853+00,Glassy Nails,9577 Braddock Road, Fairfax,Fairfax,United States,Virginia
🕓,Perkins Restaurant & Bakery,100162404055730,Opico Alpaca,2017-10-19 15:48:54.904+00,Perkins Restaurant & Bakery,1214 West University Avenue, Urbana,Urbana,United States,Illinois
🥤,Barley - Bar à Céréales,10155200088205955,Ranjitha Kumar,2018-04-28 20:09:17.832+00,Barley - Bar à Céréales,2613 Notre-Dame St W, Montreal,Montréal,Canada,Québec
🥛,Mama's Garden,105856798281199967470,Sujay Khandekar,2018-08-10 12:15:30.301+00,Mama's Garden,Oude Koornmarkt 41, Antwerpen,Antwerpen,Belgium,Vlaanderen
😑,Kopan Ramen - UCLA,10155351902975735,Ruta Lele,2018-07-10 04:14:43.57+00,Kopan Ramen - UCLA,1091 Broxton Ave, Los Angeles,Los Angeles,United States,California
😎,Palais des Congrès in Montreal,2htdiJzYhjVyklNXUkvqIhx8jqJ3,Leslie Subaldo,2018-04-23 22:24:44.23+00,Palais des Congrès in Montreal,1001 Jean Paul Riopelle Pl, Montreal, QC H2Z 1H5 Place Jean-Paul-Riopelle, Montréal,Montréal,Canada,Québec
🤑,Hotel Gault,10155200088205955,Ranjitha Kumar,2018-04-23 17:19:45.583+00,Hotel Gault,449 Sainte-Hélène St, Montreal,Montréal,Canada,Québec
🐚,Ristorante Ripa del Sole Riomaggiore,10203814544039457,James Childress,2018-04-01 21:30:02.925+00,Ristorante Ripa del Sole Riomaggiore,Via De Gasperi, 282, Riomaggiore,Riomaggiore,Italy,Liguria
🐔,Lufthansa Senators Lounge,106173579224565293482,Kala Shivaramaiah,2019-03-09 10:47:02.032+00,Lufthansa Senators Lounge,Terminal 1, Frankfurt Flughafen, Hugo-Eckener-Ring, Frankfurt am Main,Frankfurt am Main,Germany,Hessen
🥇,Aragawa,108032751776815363988,Jerry Talton,2018-02-16 22:31:10.625+00,Aragawa,Minato, Nishishinbashi, 3 Chome−23−11, 御成門小田急ビル,Minato-ku,Japan,Tōkyō-to
🍝,Papa Ricco's Restaurant & Pizzeria,149333212339665,Mary Barone,2018-08-01 23:22:11.483+00,Papa Ricco's Restaurant & Pizzeria,14415 S Dixie Hwy, Miami,Palmetto Bay,United States,Florida
🍑,Damotori Makgeolli,904147553087729,Charis Ryu,2018-05-26 08:10:13.447+00,Damotori Makgeolli,31 Sinheung-ro, Yongsan 2(i)ga-dong, Yongsan-gu,Seoul,South Korea,
😍,Sebastian's,105541935333594264230,usha shree,2019-03-17 23:24:03.21+00,Sebastian's,Unit 3, 2 Goswell Hill, Windsor,,United Kingdom,England
🍷,Harvest Market,10211909841598672,Cynthia J Coleman,2017-11-17 02:41:28.321+00,Harvest Market,2029 South Neil Street, Champaign,Champaign,United States,Illinois
🐯,David Rio Chai Bar,1543110239097991,Marilyn Stephen,2017-11-17 21:20:59.88+00,David Rio Chai Bar,1019 Market Street, San Francisco,San Francisco,United States,California
🥞,Hawaiian Island Cafe,1529368180503424,Kabir Manghnani,2018-03-18 03:03:31.304+00,Hawaiian Island Cafe,41-865 Kalanianaole Hwy, Waimanalo,Waimanalo,United States,Hawaii
🎨,Ritual Salon,10155200088205955,Ranjitha Kumar,2019-03-07 00:09:13.706+00,Ritual Salon,804 East Main Street, Urbana,Urbana,United States,Illinois
🤖,AMC Loews Lincoln Square 13,10155200088205955,Ranjitha Kumar,2018-05-27 20:11:04.619+00,AMC Loews Lincoln Square 13,1998 Broadway, New York,New YorkUnited States,New York
😥,Thomas M. Siebel Center for Computer Science,2090830797841336,Rijn Bian,2018-02-08 15:41:07.847+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
😴,Boston Logan International Airport,1970440316501428,Pooja Welling,2018-03-25 08:34:20.004+00,Boston Logan International Airport,1 Harborside Dr, Boston,Boston,United States,MA
🤤,Miga,100162404055730,Opico Alpaca,2017-10-23 18:08:59.011+00,Miga,M2 on Neil Street, 301 North Neil Street #104, Champaign,Champaign,United States,Illinois
🆗,La Bonbonnière Genève,108032751776815363988,Jerry Talton,2018-06-06 13:19:37.832+00,La Bonbonnière Genève,Rue Pierre-Fatio 15, Genève,GenèveSwitzerland,Genève
🐟,VILLAGE California Bistro and Wine Bar,10203191900074104,Sunil Khandekar,2017-12-09 00:50:46.42+00,VILLAGE California Bistro and Wine Bar,378 Santana Row #1035, San Jose,San Jose,United States,California
🍞,Bevier Cafe,100162404055730,Opico Alpaca,2017-10-23 18:44:29.964+00,Bevier Cafe,905 South Goodwin Avenue, Urbana,Urbana,United States,Illinois
👨,Oren's Hummus,105856798281199967470,Sujay Khandekar,2018-09-18 05:41:42.818+00,Oren's Hummus,126 Castro Street, Mountain View,Mountain View,United States,California
😤,Lighthouse Learning Center,111518950335847462795,Claire Hunt,2018-03-09 22:38:53.491+00,Lighthouse Learning Center,1185 Langleyville Road, Taylorville,Taylorville,United States,Illinois
🕳,Skillet Regrade,106173579224565293482,Kala Shivaramaiah,2018-11-28 01:52:57.247+00,Skillet Regrade,2050 6th Avenue, Seattle,Seattle,United States,Washington
🍣,Thomas M. Siebel Center for Computer Science,WeFiis8LNoUE7WcwBeClE5dfuni1,Yichen Yao,2019-06-03 18:33:37.063+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
😎,Curtain Bluff,10155200088205955,Ranjitha Kumar,2019-01-16 00:09:21.299+00,Curtain Bluff,Antigua & Barbuda,Old Road,Antigua and Barbuda,Saint Mary
🖤,Bae,904147553087729,Charis Ryu,2018-11-23 08:30:09.133+00,Bae,369 East 2nd Street, Los Angeles,Los Angeles,United States,California
🐑,Kojin Noodle Bar,10212391291791338,Jinda Han,2018-12-26 23:46:22.693+00,Kojin Noodle Bar,601 Duval Street #4, Key West,Key West,United States,Florida
😡,DoorDash Dasher Center, Charlotte,kv9IQKV03WXi6VW6igCTeXNeZPD3,sayonara sayonara,2018-07-27 23:09:06.351+00,DoorDash Dasher Center, Charlotte,2108 South Blvd Suite #106, Charlotte,Charlotte,United States,North Carolina
😋,Oberweis Ice Cream and Dairy Store,1111655028939865,Arnav Mishra,2018-05-07 02:41:31.117+00,Oberweis Ice Cream and Dairy Store,1905 S Neil St, Champaign,Champaign,United States,Illinois
🤩,Restaurant Ikanos,106173579224565293482,Kala Shivaramaiah,2018-04-23 02:08:29.024+00,Restaurant Ikanos,112 McGill St #1, Montreal,Montréal,Canada,Québec
😀,Gabose Pocha,1862385467106791,Jonathan Martinez,2017-11-22 04:33:49.382+00,Gabose Pocha,4933 North University Drive, Lauderhill,Lauderhill,United States,Florida
😀,Notre Dame,106173579224565293482,Kala Shivaramaiah,2018-10-21 11:52:47.152+00,Notre Dame,Paris,Paris,France,Île-de-France
😀,Business Instructional Facility,10212886863311893,Sujay Khandekar,2017-12-06 18:09:35.622+00,Business Instructional Facility,515 East Gregory Drive, Champaign,Champaign,United States,Illinois
😤,B Won Korean Restaurant,10207814784727552,Lina Handayani Sie,2018-02-11 20:07:13.587+00,B Won Korean Restaurant,2006 South Neil Street, Champaign,Champaign,United States,Illinois
🥑,The Owners Box,161575927917434,Janessa Wildermuth,2018-03-05 00:10:53.845+00,The Owners Box,555 South Lamar Street, Dallas,Dallas,United States,Texas
🍵,Sue's Gallery Cafe,1748667878486854,Ingrid Pan,2018-06-07 01:09:21.993+00,Sue's Gallery Cafe,14665 Big Basin Way, Saratoga,Saratoga,United States,California
🥩,Gaucho Parrilla Argentina,361816177630471,Thomas Mologne,2018-03-01 17:41:43.977+00,Gaucho Parrilla Argentina,1601 Penn Ave, Pittsburgh,Pittsburgh,United States,Pennsylvania
🍦,Italian Village,161575927917434,Janessa Wildermuth,2017-12-25 01:55:01.161+00,Italian Village,405 South Washington Street, Carbondale,Carbondale,United States,Illinois
🌴,Le Méridien Bali Jimbaran,105856798281199967470,Sujay Khandekar,2019-03-15 13:43:44.434+00,Le Méridien Bali Jimbaran,Jalan Bukit Permai, Jimbaran,,Indonesia,Bali
🔝,Notre Dame,106173579224565293482,Kala Shivaramaiah,2018-10-21 11:52:47.152+00,Notre Dame,Paris,Paris,France,Île-de-France
👹,University Church of St Mary the Virgin,106173579224565293482,Kala Shivaramaiah,2019-05-26 15:12:42.474+00,University Church of St Mary the Virgin,The High Street, Oxford,,United Kingdom,England
🎐,Monterey Bay Aquarium,106173579224565293482,Kala Shivaramaiah,2018-09-02 02:29:32.337+00,Monterey Bay Aquarium,886 Cannery Row, Monterey,Monterey,United States,California
💯,Infusion Brewing Company,878293195646842,Joe Higgs,2018-05-16 23:30:08.809+00,Infusion Brewing Company,6115 Maple St, Omaha,Omaha,United States,Nebraska
🥰,Glasgow Central Station,10155200088205955,Ranjitha Kumar,2019-03-13 10:32:55.74+00,Glasgow Central Station,Gordon Street, Glasgow,,United Kingdom,Scotland
💰,The Forge,794492160751553,Wyndham Batchelor,2018-02-15 16:08:40.21+00,The Forge,432 W 41st St, Miami Beach,Miami Beach,United States,Florida
🎂,Naughty Nuri's Warung Seminyak,10207814784727552,Lina Handayani Sie,2018-08-17 12:14:54.364+00,Naughty Nuri's Warung Seminyak,Jalan Mertanadi No. 62, Kerobokan, Seminyak, Kerobokan Kelod,,Indonesia,Bali
🐔,Oros Thai Restaurant,105856798281199967470,Sujay Khandekar,2018-11-11 22:45:48.286+00,Oros Thai Restaurant,6177 Santa Teresa Boulevard, San Jose,San Jose,United States,California
🍉,El Oasis,10213860837890673,Gloria Lee,2017-11-07 05:54:55.787+00,El Oasis,510 North Cunningham Avenue #14, Urbana,Urbana,United States,Illinois
📱,Apple Park Visitor Center,kzSrZzJBxRSnZsGn0JZPSRwPZ4s1,Alex Cordonnier,2018-05-17 05:55:46.768+00,Apple Park Visitor Center,10600 N Tantau Ave, Cupertino,Cupertino,United States,California
🌯,Minneapolis−Saint Paul International Airport,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2018-12-27 14:07:52.399+00,Minneapolis−Saint Paul International Airport,MN,,United States,Minnesota
😀,The Spheres,10210328739483687,Vivek Vaidya,2018-07-10 04:26:58.441+00,The Spheres,2111 7th Ave, Seattle,Seattle,United States,Washington
🧀,Mr T's Family Cafe,849156475252964,Alyssa Chen,2018-05-26 17:53:43.539+00,Mr T's Family Cafe,503 West Fir Street, Mount Vernon,Mount Vernon,United States,Washington
