body,entityname,userid,username,createdAt,entityName,address,city,country,state
👍,KoJa Kitchen,E3s6EUKkU5eQxsZlyx97ByQRlND3,Parag Phadke,2018-10-14 19:04:38.619+00,KoJa Kitchen,4342 Moorpark Avenue Ste. B, San Jose,San Jose,United States,California
🌮,Radio Maria,10203191900074104,Sunil Khandekar,2017-10-13 02:06:19.353+00,Radio Maria,119 North Walnut Street, Champaign,Champaign,United States,Illinois
👌,Riverside Hot Pot Cuisine,PtYXtuhvXKQa7g66ef9t8TLYOEq1,Zhiyu Zhu,2018-05-22 09:15:43.507+00,Riverside Hot Pot Cuisine,3903 Fair Ridge Drive H, Fairfax,Fairfax,United States,Virginia
🎇,San Diego,10211141596436760,Shan Xie,2017-12-31 02:39:30.206+00,San Diego,San Diego,San Diego,United States,California
🥘,Restaurante St. James,10203191900074104,Sunil Khandekar,2017-11-18 21:41:46.668+00,Restaurante St. James,Calle de Juan Bravo, 26, Madrid,Madrid,Spain,Comunidad de Madrid
🥘,Gymkhana,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2019-05-26 06:53:13.005+00,Gymkhana,42 Albemarle Street, London,,United Kingdom,England
💯,Vinason Pho & Grill,1425689854196183,Sunaya Kumar,2017-12-20 02:53:57.83+00,Vinason Pho & Grill,2134 Westlake Avenue, Seattle,Seattle,United States,Washington
🍻,501 E Healey St,849156475252964,Alyssa Chen,2018-05-02 03:38:03.917+00,501 E Healey St,Champaign,Champaign,United States,Illinois
😅,Tom McCall Waterfront Park,105856798281199967470,Sujay Khandekar,2018-07-29 21:28:06.518+00,Tom McCall Waterfront Park,98 SW Naito Pkwy, Portland,Portland,United States,Oregon
🙏,1904 S 1st St,904147553087729,Charis Ryu,2018-08-01 16:51:40.724+00,1904 S 1st St,Champaign,Champaign,United States,Illinois
🐍,Helms Park,106173579224565293482,Kala Shivaramaiah,2018-09-21 00:39:27.927+00,Helms Park,475 South 2nd Street, Champaign,Champaign,United States,Illinois
😋,Sharetea,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-04-02 01:56:33.133+00,Sharetea,1100 Northeast 45th Street #100, Seattle,Seattle,United States,Washington
🍷,Calabash Luxury Boutique Hotel,108032751776815363988,Jerry Talton,2018-03-23 19:30:55.96+00,Calabash Luxury Boutique Hotel,L'Anse Aux Epines Beach, Saint Georges,Lance aux Epines,Grenada,
👧,Angel Nails,110478412661569610356,cynthia coleman,2018-03-16 22:19:37.84+00,Angel Nails,2500 Philo Road, Urbana,Urbana,United States,Illinois
🏰,The Crown Jewels,106173579224565293482,Kala Shivaramaiah,2019-03-14 17:41:56.707+00,The Crown Jewels,Tower of London, Tower Hill, London,,United Kingdom,England
🏞,Grand Hotel du Lac Vevey,10155200088205955,Ranjitha Kumar,2018-06-07 22:57:26.935+00,Grand Hotel du Lac Vevey,Rue d'Italie 1, Vevey,Vevey,Switzerland,Vaud
👍,Dough Zone™ Dumpling House,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-10-14 02:08:51.692+00,Dough Zone™ Dumpling House,504 5th Avenue South #109, Seattle,Seattle,United States,Washington
💀,Mai-Kai Restaurant,878293195646842,Joe Higgs,2017-12-27 00:33:48.238+00,Mai-Kai Restaurant,3599 North Federal Highway, Fort Lauderdale,Fort Lauderdale,United States,Florida
👀,Kilt Rock and Mealt Falls Viewpoint,10155200088205955,Ranjitha Kumar,2019-05-10 23:30:16.28+00,Kilt Rock and Mealt Falls Viewpoint,A855, Portree,,United Kingdom,Scotland
😃,Panera Bread,2009022169364640,Colleen Romano,2017-12-07 04:47:39.134+00,Panera Bread,616 East Green Street, Champaign,Champaign,United States,Illinois
😁,Protein Bar,10215323205660534,Austin Sun,2018-11-10 17:15:33.45+00,Protein Bar,120 S. Riverside, Chicago,Chicago,United States,Illinois
👍,MILK+T,10207814784727552,Lina Handayani Sie,2017-12-23 00:04:52.303+00,MILK+T,310 East 2nd Street, Los Angeles,Los Angeles,United States,California
🥛,Cocomero Frozen Yogurt,2441556549402181,Caleb Ju,2017-12-05 02:43:29.678+00,Cocomero Frozen Yogurt,709 South Wright Street, Champaign,Champaign,United States,Illinois
🍚,Biryaniz,106173579224565293482,Kala Shivaramaiah,2018-12-15 18:35:14.668+00,Biryaniz,18 South Abbott Avenue, Milpitas,Milpitas,United States,California
🏠,The White House,1111655028939865,Arnav Mishra,2018-05-19 15:49:53.01+00,The White House,1600 Pennsylvania Ave NW, Washington,Washington,United States,District of Columbia
🎨,The Institute of Contemporary Art,105856798281199967470,Sujay Khandekar,2019-05-19 19:55:14.034+00,The Institute of Contemporary Art,25 Harbor Shore Drive, Boston,Boston,United States,Massachusetts
🍺,The Blind Pig Brewery,105856798281199967470,Sujay Khandekar,2018-03-15 06:16:09.005+00,The Blind Pig Brewery,120 North Neil Street, Champaign,Champaign,United States,Illinois
🍰,Perkins Restaurant & Bakery,10212391291791338,Jinda Han,2018-02-05 22:10:57.021+00,Perkins Restaurant & Bakery,1214 West University Avenue, Urbana,Urbana,United States,Illinois
🖨,Champaign-Urbana Community Fab Lab,10207814784727552,Lina Handayani Sie,2018-02-07 01:30:50.058+00,Champaign-Urbana Community Fab Lab,1301 South Goodwin Avenue, Art Annex 2, Urbana,Urbana,United States,Illinois
🤑,Toscano,KHbAMegk1OO6WujYq8DGcsa3U8c2,Chinmay Gopal,2018-05-31 17:30:54.194+00,Toscano,26/1, Dr. Rajkumar Road, Brigade Gateway Road, Malleshwaram, Bengaluru,Bengaluru,India,Karnataka
💡,Mangoes Restaurant,108032751776815363988,Jerry Talton,2018-02-18 06:01:19.709+00,Mangoes Restaurant,700 Duval St, Key West,Key West,United States,Florida
🤤,Sushi Kame,1270106893044550,Anjali Ramani,2017-11-18 22:19:52.293+00,Sushi Kame,132 West Church Street, Champaign,Champaign,United States,Illinois
💪,AM-KO Oriental Foods & Gifts,904147553087729,Charis Ryu,2018-02-09 23:51:06.783+00,AM-KO Oriental Foods & Gifts,101 East Springfield Avenue, Champaign,Champaign,United States,Illinois
😋,Shiquan,gZeNLZHXyOPwnpW6sKLjthaN3Uk1,Yimeng Zhou,2018-10-17 17:19:17.174+00,Shiquan,212 East Green Street #102, Champaign,Champaign,United States,Illinois
👦,Bangalore International School,1425689854196183,Sunaya Kumar,2018-05-17 09:33:21.139+00,Bangalore International School,Hennur Bagalur Road, Geddalahalli, Kothanur Post, Bengaluru,Bengaluru,India,Karnataka
😸,Maize Mexican Grill,1864493876898160,Matea Zaper,2017-12-01 20:19:05.291+00,Maize Mexican Grill,60 East Green Street, Champaign,Champaign,United States,Illinois
🥛,Kung Fu Tea,1637611619594940,Liam Kenny,2017-12-06 05:00:06.017+00,Kung Fu Tea,707 South 6th Street suit 107, Champaign,Champaign,United States,Illinois
🤯,Bodega Sur,10210457306100125,Kagan Allen,2018-02-25 16:43:03.729+00,Bodega Sur,3755 North Southport Avenue, Chicago,Chicago,United States,Illinois
🥞,Cozy Corner Restaurant & Pancake House,10209215430457530,Julia Megan Sullivan,2018-11-21 17:34:48.363+00,Cozy Corner Restaurant & Pancake House,6349 North Clark Street, Chicago,Chicago,United States,Illinois
🥟,M.Y. China,10212391291791338,Jinda Han,2018-07-04 03:52:32.946+00,M.Y. China,845 Market Street, San Francisco,San Francisco,United States,California
💃,Radio Maria,10213860837890673,Gloria Lee,2017-12-16 19:33:05.759+00,Radio Maria,119 North Walnut Street, Champaign,Champaign,United States,Illinois
🎾,O'Hare International Airport,10155200088205955,Ranjitha Kumar,2019-09-06 00:18:19.179+00,O'Hare International Airport,10000 W O'Hare Ave, Chicago,Chicago,United States,Illinois
😎,Stumptown Coffee Roasters,10155200088205955,Ranjitha Kumar,2018-10-01 15:31:10.977+00,Stumptown Coffee Roasters,30 West 8th Street, New York,New YorkUnited States,New York
🐳,Carmel by the sea,105541935333594264230,usha shree,2018-09-03 18:33:28.054+00,Carmel by the sea,800 Ocean Avenue, Carmel-by-the-Sea,Carmel-by-the-Sea,United States,California
🎁,Saratoga,105856798281199967470,Sujay Khandekar,2018-12-25 08:03:29.184+00,Saratoga,Saratoga,Saratoga,United States,California
😋,Nico Osteria,1660353924016921,Olivia Gatti,2018-05-29 21:23:36.325+00,Nico Osteria,1015 N Rush St, Chicago,Chicago,United States,Illinois
🍜,Bangkok Thai Restaurant & Pho 911,395494837568437,Zifei Feng,2018-03-11 01:43:23.882+00,Bangkok Thai Restaurant & Pho 911,410 East Green Street, Champaign,Champaign,United States,Illinois
😋,Dos Toros Taqueria,1659104244102907,Dayana Edat,2018-05-18 22:30:46.314+00,Dos Toros Taqueria,300 South Wacker Drive, Chicago,Chicago,United States,Illinois
🍻,Firehaus,1818871448126667,James Lee,2018-03-09 23:21:23.356+00,Firehaus,708 South 6th Street, Champaign,Champaign,United States,Illinois
🐌,United States Postal Service,10155200088205955,Ranjitha Kumar,2018-04-03 23:40:03.779+00,United States Postal Service,600 North Neil Street, Champaign,Champaign,United States,IL
🤩,Lao sze chuan,1270106893044550,Anjali Ramani,2017-12-13 22:31:03.417+00,Lao sze chuan,608 East University Avenue ste. 105, Champaign,Champaign,United States,Illinois
👁,Joverse,K1h9GOceX3Pj7vF9tgP7FIGR9903,Eric Paulos,2018-04-26 00:39:01.784+00,Joverse,52 Rue Saint-Jacques, Montréal,Montréal,Canada,Québec
💦,TLC Dry Cleaners,108032751776815363988,Jerry Talton,2017-12-31 10:09:49.83+00,TLC Dry Cleaners,9531 Braddock Road, Fairfax,Fairfax,United States,Virginia
😋,Goddess and the Baker,106173579224565293482,Kala Shivaramaiah,2019-07-08 14:29:45.467+00,Goddess and the Baker,Legacy Tower, South Wabash Avenue, Chicago,Chicago,United States,Illinois
